"Kode Kecamatan
Kemendagri";"Kode Kecamatan
BPS";Kecamatan;SMP/MTS NEGERI_A;SMP/MTS NEGERI_B;SMP/MTS NEGERI_C;SMP/MTS NEGERI_NonAkred;SMP/MTS SWASTA_A;SMP/MTS SWASTA_B;SMP/MTS SWASTA_C;SMP/MTS SWASTA_NonAkred;Periode;Tahun
357827;3578160;SUKOMANUNGGAL;4;0;0;0;6;8;0;0;Maret;2025
357806;3578170;SAWAHAN;1;0;0;0;8;3;1;1;Maret;2025
357805;3578180;TEGALSARI;2;0;0;0;4;3;0;0;Maret;2025
357807;3578190;GENTENG;4;0;0;0;4;3;0;0;Maret;2025
357810;3578200;TAMBAKSARI;2;0;0;0;8;8;2;0;Maret;2025
357817;3578210;KENJERAN;5;0;0;0;6;6;2;2;Maret;2025
357829;3578211;BULAK;3;0;0;0;3;1;0;0;Maret;2025
357811;3578220;SIMOKERTO;2;0;0;0;4;5;0;1;Maret;2025
357816;3578230;SEMAMPIR;2;0;0;1;4;14;2;3;Maret;2025
357812;3578240;PABEAN CANTIAN;2;0;0;0;2;2;0;0;Maret;2025
357813;3578250;BUBUTAN;1;0;0;0;4;3;0;0;Maret;2025
357815;3578260;KREMBANGAN;4;0;0;0;11;3;0;1;Maret;2025
357828;3578270;ASEM ROWO;1;0;0;0;2;0;1;2;Maret;2025
357819;3578280;BENOWO;4;0;0;0;1;1;0;0;Maret;2025
357830;3578281;PAKAL;2;0;0;0;6;3;0;1;Maret;2025
357801;3578010;KARANG PILANG;2;0;0;1;4;2;0;0;April;2025
357823;3578020;JAMBANGAN;4;0;0;0;3;2;0;1;April;2025
357822;3578030;GAYUNGAN;1;0;0;0;4;1;0;0;April;2025
357802;3578040;WONOCOLO;2;0;0;0;6;0;0;1;April;2025
357824;3578050;TENGGILIS MEJOYO;2;0;0;0;4;1;0;0;April;2025
357825;3578060;GUNUNG ANYAR;0;1;0;0;5;3;0;1;April;2025
357803;3578070;RUNGKUT;4;0;0;0;6;1;0;2;April;2025
357809;3578080;SUKOLILO;5;0;0;0;10;3;0;1;April;2025
357826;3578090;MULYOREJO;1;0;0;0;12;2;0;0;April;2025
357808;3578100;GUBENG;1;0;0;0;9;3;0;0;April;2025
357804;3578110;WONOKROMO;3;0;0;1;9;8;0;0;April;2025
357821;3578120;DUKUH PAKIS;1;0;0;0;8;3;0;1;April;2025
357820;3578130;WIYUNG;4;0;0;0;2;5;0;0;April;2025
357818;3578140;LAKARSANTRI;3;0;0;0;7;2;0;0;April;2025
357831;3578141;SAMBIKEREP;2;0;0;0;8;7;0;2;April;2025
357814;3578150;TANDES;1;0;0;0;7;5;1;0;April;2025
357827;3578160;SUKOMANUNGGAL;4;0;0;0;6;8;0;0;April;2025
357806;3578170;SAWAHAN;1;0;0;0;8;3;1;1;April;2025
357805;3578180;TEGALSARI;2;0;0;0;4;3;0;0;April;2025
357807;3578190;GENTENG;4;0;0;0;4;3;0;0;April;2025
357810;3578200;TAMBAKSARI;2;0;0;0;8;8;2;0;April;2025
357817;3578210;KENJERAN;5;0;0;0;6;6;2;2;April;2025
357829;3578211;BULAK;3;0;0;0;3;1;0;0;April;2025
357811;3578220;SIMOKERTO;2;0;0;0;4;5;0;1;April;2025
357816;3578230;SEMAMPIR;2;0;0;1;4;14;2;3;April;2025
357812;3578240;PABEAN CANTIAN;2;0;0;0;2;2;0;0;April;2025
357813;3578250;BUBUTAN;1;0;0;0;4;3;0;0;April;2025
357815;3578260;KREMBANGAN;4;0;0;0;11;3;0;1;April;2025
357828;3578270;ASEM ROWO;1;0;0;0;2;0;1;2;April;2025
357819;3578280;BENOWO;4;0;0;0;1;1;0;0;April;2025
357830;3578281;PAKAL;2;0;0;0;6;3;0;1;April;2025
357801;3578010;KARANG PILANG;2;0;0;1;4;2;0;0;Mei;2025
357823;3578020;JAMBANGAN;4;0;0;0;3;2;0;1;Mei;2025
357822;3578030;GAYUNGAN;1;0;0;0;4;1;0;0;Mei;2025
357802;3578040;WONOCOLO;2;0;0;0;6;0;0;1;Mei;2025
357824;3578050;TENGGILIS MEJOYO;2;0;0;0;4;1;0;0;Mei;2025
357825;3578060;GUNUNG ANYAR;0;1;0;0;5;3;0;1;Mei;2025
357803;3578070;RUNGKUT;4;0;0;0;6;1;0;2;Mei;2025
357809;3578080;SUKOLILO;5;0;0;0;10;3;0;1;Mei;2025
357826;3578090;MULYOREJO;1;0;0;0;12;2;0;0;Mei;2025
357808;3578100;GUBENG;1;0;0;0;9;3;0;0;Mei;2025
357804;3578110;WONOKROMO;3;0;0;1;9;8;0;0;Mei;2025
357821;3578120;DUKUH PAKIS;1;0;0;0;8;3;0;1;Mei;2025
357820;3578130;WIYUNG;4;0;0;0;2;5;0;0;Mei;2025
357818;3578140;LAKARSANTRI;3;0;0;0;7;2;0;1;Mei;2025
357831;3578141;SAMBIKEREP;2;0;0;0;8;7;0;2;Mei;2025
357814;3578150;TANDES;1;0;0;0;7;5;1;1;Mei;2025
357827;3578160;SUKOMANUNGGAL;4;0;0;0;6;8;0;0;Mei;2025
357806;3578170;SAWAHAN;1;0;0;0;8;3;1;1;Mei;2025
357805;3578180;TEGALSARI;2;0;0;0;4;3;0;0;Mei;2025
357807;3578190;GENTENG;4;0;0;0;4;3;0;1;Mei;2025
357810;3578200;TAMBAKSARI;2;0;0;0;8;8;2;0;Mei;2025
357817;3578210;KENJERAN;5;0;0;0;6;6;2;2;Mei;2025
357829;3578211;BULAK;3;0;0;0;3;1;0;0;Mei;2025
357811;3578220;SIMOKERTO;2;0;0;0;5;5;0;0;Mei;2025
357816;3578230;SEMAMPIR;2;0;0;1;4;14;2;3;Mei;2025
357812;3578240;PABEAN CANTIAN;2;0;0;0;2;2;0;0;Mei;2025
357813;3578250;BUBUTAN;1;0;0;0;4;3;0;0;Mei;2025
357815;3578260;KREMBANGAN;4;0;0;0;11;3;0;1;Mei;2025
357828;3578270;ASEM ROWO;1;0;0;0;2;0;1;2;Mei;2025
357819;3578280;BENOWO;4;0;0;0;1;1;0;0;Mei;2025
357830;3578281;PAKAL;2;0;0;0;6;3;0;1;Mei;2025
357801;3578010;KARANG PILANG;2;0;0;1;4;2;0;0;Juni;2025
357823;3578020;JAMBANGAN;4;0;0;0;3;2;0;1;Juni;2025
357822;3578030;GAYUNGAN;1;0;0;0;4;1;0;0;Juni;2025
357802;3578040;WONOCOLO;2;0;0;0;6;0;0;1;Juni;2025
357824;3578050;TENGGILIS MEJOYO;2;0;0;0;5;0;0;0;Juni;2025
357825;3578060;GUNUNG ANYAR;1;0;0;0;5;3;0;1;Juni;2025
357803;3578070;RUNGKUT;4;0;0;0;6;1;0;2;Juni;2025
357809;3578080;SUKOLILO;5;0;0;0;10;3;0;1;Juni;2025
357826;3578090;MULYOREJO;1;0;0;0;12;2;0;0;Juni;2025
357808;3578100;GUBENG;1;0;0;0;9;3;0;0;Juni;2025
357804;3578110;WONOKROMO;3;0;0;1;9;8;0;0;Juni;2025
357821;3578120;DUKUH PAKIS;1;0;0;0;8;3;0;1;Juni;2025
357820;3578130;WIYUNG;4;0;0;0;2;5;0;0;Juni;2025
357818;3578140;LAKARSANTRI;3;0;0;0;7;2;0;1;Juni;2025
357831;3578141;SAMBIKEREP;2;0;0;0;9;7;0;1;Juni;2025
357814;3578150;TANDES;1;0;0;0;7;5;1;1;Juni;2025
357827;3578160;SUKOMANUNGGAL;4;0;0;0;6;8;0;0;Juni;2025
357806;3578170;SAWAHAN;1;0;0;0;8;3;1;1;Juni;2025
357805;3578180;TEGALSARI;2;0;0;0;4;3;0;0;Juni;2025
357807;3578190;GENTENG;4;0;0;0;4;3;0;1;Juni;2025
357810;3578200;TAMBAKSARI;2;0;0;0;8;8;2;0;Juni;2025
357817;3578210;KENJERAN;5;0;0;0;6;6;2;2;Juni;2025
357829;3578211;BULAK;3;0;0;0;3;1;0;0;Juni;2025
357811;3578220;SIMOKERTO;2;0;0;0;5;5;0;0;Juni;2025
357816;3578230;SEMAMPIR;2;0;0;1;4;14;2;3;Juni;2025
357812;3578240;PABEAN CANTIAN;2;0;0;0;2;2;0;0;Juni;2025
357813;3578250;BUBUTAN;1;0;0;0;4;3;0;0;Juni;2025
357815;3578260;KREMBANGAN;4;0;0;0;11;3;0;1;Juni;2025
357828;3578270;ASEM ROWO;1;0;0;0;2;0;1;2;Juni;2025
357819;3578280;BENOWO;4;0;0;0;1;1;0;0;Juni;2025
357830;3578281;PAKAL;2;0;0;0;6;3;0;1;Juni;2025
357801;3578010;KARANG PILANG;2;0;0;1;4;2;0;0;Juli;2025
357823;3578020;JAMBANGAN;4;0;0;0;3;2;0;1;Juli;2025
357822;3578030;GAYUNGAN;1;0;0;0;4;1;0;0;Juli;2025
357802;3578040;WONOCOLO;2;0;0;0;6;0;0;1;Juli;2025
357824;3578050;TENGGILIS MEJOYO;2;0;0;0;5;0;0;0;Juli;2025
357825;3578060;GUNUNG ANYAR;1;0;0;0;5;3;0;1;Juli;2025
357803;3578070;RUNGKUT;4;0;0;0;6;1;0;2;Juli;2025
357809;3578080;SUKOLILO;5;0;0;0;10;3;0;1;Juli;2025
357826;3578090;MULYOREJO;1;0;0;0;12;2;0;0;Juli;2025
357808;3578100;GUBENG;1;0;0;0;9;3;0;0;Juli;2025
357804;3578110;WONOKROMO;3;0;0;1;9;8;0;0;Juli;2025
357821;3578120;DUKUH PAKIS;1;0;0;0;8;3;0;1;Juli;2025
357820;3578130;WIYUNG;4;0;0;0;2;5;0;0;Juli;2025
357818;3578140;LAKARSANTRI;3;0;0;0;7;2;0;2;Juli;2025
357831;3578141;SAMBIKEREP;2;0;0;0;9;7;0;2;Juli;2025
357814;3578150;TANDES;1;0;0;0;7;5;1;1;Juli;2025
357827;3578160;SUKOMANUNGGAL;4;0;0;0;6;8;0;0;Juli;2025
357806;3578170;SAWAHAN;1;0;0;0;8;3;1;1;Juli;2025
357805;3578180;TEGALSARI;2;0;0;0;4;3;0;0;Juli;2025
357807;3578190;GENTENG;4;0;0;0;4;3;0;1;Juli;2025
357810;3578200;TAMBAKSARI;2;0;0;0;8;8;2;0;Juli;2025
357817;3578210;KENJERAN;5;0;0;0;6;6;2;2;Juli;2025
357829;3578211;BULAK;3;0;0;0;3;1;0;0;Juli;2025
357811;3578220;SIMOKERTO;2;0;0;0;5;5;0;0;Juli;2025
357816;3578230;SEMAMPIR;2;0;0;1;4;15;2;2;Juli;2025
357812;3578240;PABEAN CANTIAN;2;0;0;0;2;2;0;0;Juli;2025
357813;3578250;BUBUTAN;1;0;0;0;4;3;0;0;Juli;2025
357815;3578260;KREMBANGAN;4;0;0;0;11;3;0;1;Juli;2025
357828;3578270;ASEM ROWO;1;0;0;0;2;0;1;2;Juli;2025
357819;3578280;BENOWO;4;0;0;0;1;1;0;0;Juli;2025
357830;3578281;PAKAL;2;0;0;0;6;3;0;1;Juli;2025
357801;3578010;KARANG PILANG;2;0;0;1;4;2;0;0;Agustus;2025
357823;3578020;JAMBANGAN;4;0;0;0;3;2;0;1;Agustus;2025
357822;3578030;GAYUNGAN;1;0;0;0;4;1;0;0;Agustus;2025
357802;3578040;WONOCOLO;2;0;0;0;6;0;0;1;Agustus;2025
357824;3578050;TENGGILIS MEJOYO;2;0;0;0;5;0;0;0;Agustus;2025
357825;3578060;GUNUNG ANYAR;1;0;0;0;5;3;0;1;Agustus;2025
357803;3578070;RUNGKUT;4;0;0;0;6;1;0;2;Agustus;2025
357809;3578080;SUKOLILO;5;0;0;0;10;3;0;1;Agustus;2025
357826;3578090;MULYOREJO;1;0;0;0;12;2;0;0;Agustus;2025
357808;3578100;GUBENG;1;0;0;0;9;3;0;0;Agustus;2025
357804;3578110;WONOKROMO;3;0;0;1;9;8;0;0;Agustus;2025
357821;3578120;DUKUH PAKIS;1;0;0;0;8;3;0;1;Agustus;2025
357820;3578130;WIYUNG;4;0;0;0;2;5;0;0;Agustus;2025
357818;3578140;LAKARSANTRI;3;0;0;0;7;2;0;2;Agustus;2025
357831;3578141;SAMBIKEREP;2;0;0;0;9;7;0;2;Agustus;2025
357814;3578150;TANDES;1;0;0;0;7;5;1;1;Agustus;2025
357827;3578160;SUKOMANUNGGAL;4;0;0;0;6;8;0;0;Agustus;2025
357806;3578170;SAWAHAN;1;0;0;0;8;3;1;1;Agustus;2025
357805;3578180;TEGALSARI;2;0;0;0;4;3;0;0;Agustus;2025
357807;3578190;GENTENG;4;0;0;0;4;3;0;1;Agustus;2025
357810;3578200;TAMBAKSARI;2;0;0;0;8;8;2;0;Agustus;2025
357817;3578210;KENJERAN;5;0;0;0;6;6;2;2;Agustus;2025
357829;3578211;BULAK;3;0;0;0;3;1;0;0;Agustus;2025
357811;3578220;SIMOKERTO;2;0;0;0;5;5;0;0;Agustus;2025
357816;3578230;SEMAMPIR;2;0;0;1;4;15;2;2;Agustus;2025
357812;3578240;PABEAN CANTIAN;2;0;0;0;2;2;0;0;Agustus;2025
357813;3578250;BUBUTAN;1;0;0;0;4;3;0;0;Agustus;2025
357815;3578260;KREMBANGAN;4;0;0;0;11;3;0;1;Agustus;2025
357828;3578270;ASEM ROWO;1;0;0;0;2;0;1;2;Agustus;2025
357819;3578280;BENOWO;4;0;0;0;1;1;0;0;Agustus;2025
357830;3578281;PAKAL;2;0;0;0;6;3;0;1;Agustus;2025
357801;3578010;KARANG PILANG;2;0;0;1;4;2;0;0;September;2025
357823;3578020;JAMBANGAN;4;0;0;0;3;2;0;1;September;2025
357822;3578030;GAYUNGAN;1;0;0;0;4;1;0;0;September;2025
357802;3578040;WONOCOLO;2;0;0;0;6;0;0;1;September;2025
357824;3578050;TENGGILIS MEJOYO;2;0;0;0;5;0;0;0;September;2025
357825;3578060;GUNUNG ANYAR;1;0;0;0;5;3;0;1;September;2025
357803;3578070;RUNGKUT;4;0;0;0;6;1;0;2;September;2025
357809;3578080;SUKOLILO;5;0;0;0;10;3;0;1;September;2025
357826;3578090;MULYOREJO;1;0;0;0;12;2;0;0;September;2025
357808;3578100;GUBENG;1;0;0;0;9;3;0;0;September;2025
357804;3578110;WONOKROMO;3;0;0;1;9;8;0;0;September;2025
357821;3578120;DUKUH PAKIS;1;0;0;0;8;3;0;1;September;2025
357820;3578130;WIYUNG;4;0;0;0;2;5;0;0;September;2025
357818;3578140;LAKARSANTRI;3;0;0;0;7;2;0;2;September;2025
357831;3578141;SAMBIKEREP;2;0;0;0;9;7;0;2;September;2025
357814;3578150;TANDES;1;0;0;0;7;5;1;1;September;2025
357827;3578160;SUKOMANUNGGAL;4;0;0;0;6;8;0;0;September;2025
357806;3578170;SAWAHAN;1;0;0;0;8;3;1;1;September;2025
357805;3578180;TEGALSARI;2;0;0;0;4;3;0;0;September;2025
357807;3578190;GENTENG;4;0;0;0;4;3;0;1;September;2025
357810;3578200;TAMBAKSARI;2;0;0;0;8;8;2;0;September;2025
357817;3578210;KENJERAN;5;0;0;0;6;6;2;2;September;2025
357829;3578211;BULAK;3;0;0;0;3;1;0;0;September;2025
357811;3578220;SIMOKERTO;2;0;0;0;5;5;0;0;September;2025
357816;3578230;SEMAMPIR;2;0;0;1;4;15;2;2;September;2025
357812;3578240;PABEAN CANTIAN;2;0;0;0;2;2;0;0;September;2025
357813;3578250;BUBUTAN;1;0;0;0;4;3;0;0;September;2025
357815;3578260;KREMBANGAN;4;0;0;0;11;3;0;1;September;2025
357828;3578270;ASEM ROWO;1;0;0;0;2;0;1;2;September;2025
357819;3578280;BENOWO;4;0;0;0;1;1;0;0;September;2025
357830;3578281;PAKAL;2;0;0;0;6;3;0;1;September;2025
357801;3578010;KARANG PILANG;2;0;0;1;4;2;0;0;Oktober;2025
357823;3578020;JAMBANGAN;4;0;0;0;3;2;0;1;Oktober;2025
357822;3578030;GAYUNGAN;1;0;0;0;4;0;0;0;Oktober;2025
357802;3578040;WONOCOLO;2;0;0;0;6;0;0;1;Oktober;2025
357824;3578050;TENGGILIS MEJOYO;2;0;0;0;5;0;0;0;Oktober;2025
357825;3578060;GUNUNG ANYAR;1;0;0;0;5;3;0;1;Oktober;2025
357803;3578070;RUNGKUT;4;0;0;0;6;1;0;2;Oktober;2025
357809;3578080;SUKOLILO;5;0;0;0;10;3;0;1;Oktober;2025
357826;3578090;MULYOREJO;1;0;0;0;12;2;0;0;Oktober;2025
357808;3578100;GUBENG;1;0;0;0;9;3;0;0;Oktober;2025
357804;3578110;WONOKROMO;3;0;0;1;9;8;0;0;Oktober;2025
357821;3578120;DUKUH PAKIS;1;0;0;0;8;3;0;1;Oktober;2025
357820;3578130;WIYUNG;4;0;0;0;2;5;0;0;Oktober;2025
357818;3578140;LAKARSANTRI;3;0;0;0;7;2;0;2;Oktober;2025
357831;3578141;SAMBIKEREP;2;0;0;0;9;7;0;2;Oktober;2025
357814;3578150;TANDES;1;0;0;0;7;5;1;1;Oktober;2025
357827;3578160;SUKOMANUNGGAL;4;0;0;0;6;8;0;0;Oktober;2025
357806;3578170;SAWAHAN;1;0;0;0;8;3;1;1;Oktober;2025
357805;3578180;TEGALSARI;2;0;0;0;4;3;0;0;Oktober;2025
357807;3578190;GENTENG;4;0;0;0;4;3;0;1;Oktober;2025
357810;3578200;TAMBAKSARI;2;0;0;0;8;8;2;0;Oktober;2025
357817;3578210;KENJERAN;5;0;0;0;6;6;2;2;Oktober;2025
357829;3578211;BULAK;3;0;0;0;3;1;0;0;Oktober;2025
357811;3578220;SIMOKERTO;2;0;0;0;5;5;0;0;Oktober;2025
357816;3578230;SEMAMPIR;2;0;0;1;4;15;2;2;Oktober;2025
357812;3578240;PABEAN CANTIAN;2;0;0;0;2;2;0;0;Oktober;2025
357813;3578250;BUBUTAN;1;0;0;0;4;3;0;0;Oktober;2025
357815;3578260;KREMBANGAN;4;0;0;0;11;3;0;1;Oktober;2025
357828;3578270;ASEM ROWO;1;0;0;0;2;0;1;2;Oktober;2025
357819;3578280;BENOWO;4;0;0;0;1;1;0;0;Oktober;2025
357830;3578281;PAKAL;2;0;0;0;6;3;0;1;Oktober;2025
357801;3578010;KARANG PILANG;2;0;0;1;4;2;0;0;November;2025
357823;3578020;JAMBANGAN;4;0;0;0;3;2;0;1;November;2025
357822;3578030;GAYUNGAN;1;0;0;0;4;0;0;0;November;2025
357802;3578040;WONOCOLO;2;0;0;0;6;0;0;1;November;2025
357824;3578050;TENGGILIS MEJOYO;2;0;0;0;5;0;0;0;November;2025
357825;3578060;GUNUNG ANYAR;1;0;0;0;5;3;0;1;November;2025
357803;3578070;RUNGKUT;4;0;0;0;6;1;0;2;November;2025
357809;3578080;SUKOLILO;5;0;0;0;10;3;0;1;November;2025
357826;3578090;MULYOREJO;1;0;0;0;12;2;0;0;November;2025
357808;3578100;GUBENG;1;0;0;0;9;3;0;0;November;2025
357804;3578110;WONOKROMO;3;0;0;1;9;8;0;0;November;2025
357821;3578120;DUKUH PAKIS;1;0;0;0;8;3;0;1;November;2025
357820;3578130;WIYUNG;4;0;0;0;2;5;0;0;November;2025
357818;3578140;LAKARSANTRI;3;0;0;0;7;2;0;3;November;2025
357831;3578141;SAMBIKEREP;2;0;0;0;9;7;0;2;November;2025
357814;3578150;TANDES;1;0;0;0;7;5;1;1;November;2025
357827;3578160;SUKOMANUNGGAL;4;0;0;0;6;8;0;0;November;2025
357806;3578170;SAWAHAN;1;0;0;0;8;3;1;1;November;2025
357805;3578180;TEGALSARI;2;0;0;0;4;3;0;0;November;2025
357807;3578190;GENTENG;4;0;0;0;4;3;0;1;November;2025
357810;3578200;TAMBAKSARI;2;0;0;0;8;8;2;0;November;2025
357817;3578210;KENJERAN;5;0;0;0;6;6;2;2;November;2025
357829;3578211;BULAK;3;0;0;0;3;1;0;0;November;2025
357811;3578220;SIMOKERTO;2;0;0;0;5;5;0;0;November;2025
357816;3578230;SEMAMPIR;2;0;0;1;4;15;2;2;November;2025
357812;3578240;PABEAN CANTIAN;2;0;0;0;2;2;0;0;November;2025
357813;3578250;BUBUTAN;1;0;0;0;4;3;0;0;November;2025
357815;3578260;KREMBANGAN;4;0;0;0;11;3;0;1;November;2025
357828;3578270;ASEM ROWO;1;0;0;0;2;0;1;2;November;2025
357819;3578280;BENOWO;4;0;0;0;1;1;0;0;November;2025
357830;3578281;PAKAL;2;0;0;0;6;3;1;1;November;2025
357801;3578010;KARANG PILANG;2;0;0;1;4;2;0;0;Desember;2025
357823;3578020;JAMBANGAN;4;0;0;0;3;2;0;1;Desember;2025
357822;3578030;GAYUNGAN;1;0;0;0;4;0;0;0;Desember;2025
357802;3578040;WONOCOLO;2;0;0;0;6;0;0;1;Desember;2025
357824;3578050;TENGGILIS MEJOYO;2;0;0;0;5;0;0;0;Desember;2025
357825;3578060;GUNUNG ANYAR;1;0;0;0;5;3;0;1;Desember;2025
357803;3578070;RUNGKUT;4;0;0;0;6;1;0;2;Desember;2025
357809;3578080;SUKOLILO;5;0;0;0;10;3;0;1;Desember;2025
357826;3578090;MULYOREJO;1;0;0;0;12;2;0;0;Desember;2025
357808;3578100;GUBENG;1;0;0;0;9;3;0;0;Desember;2025
357804;3578110;WONOKROMO;3;0;0;1;9;8;0;0;Desember;2025
357821;3578120;DUKUH PAKIS;1;0;0;0;8;3;0;1;Desember;2025
357820;3578130;WIYUNG;4;0;0;0;2;5;0;0;Desember;2025
357818;3578140;LAKARSANTRI;3;0;0;0;7;2;0;3;Desember;2025
357831;3578141;SAMBIKEREP;2;0;0;0;9;7;0;2;Desember;2025
