"Kode Kecamatan
Kemendagri";"Kode Kecamatan
BPS";Kecamatan;SD Inklusi;Siswa Inklusi SD;SMP Inklusi;Siswa Inklusi SMP;Periode;Tahun
357826;3578090;MULYOREJO;2;27;1;32;April;2025
357808;3578100;GUBENG;5;123;1;6;April;2025
357804;3578110;WONOKROMO;4;32;3;56;April;2025
357821;3578120;DUKUH PAKIS;3;49;1;1;April;2025
357820;3578130;WIYUNG;5;85;1;3;April;2025
357818;3578140;LAKARSANTRI;4;26;2;48;April;2025
357831;3578141;SAMBIKEREP;4;63;2;93;April;2025
357814;3578150;TANDES;0;0;0;0;April;2025
357827;3578160;SUKOMANUNGGAL;5;36;3;13;April;2025
357806;3578170;SAWAHAN;7;147;1;58;April;2025
357805;3578180;TEGALSARI;7;93;1;4;April;2025
357807;3578190;GENTENG;3;40;4;97;April;2025
357810;3578200;TAMBAKSARI;9;137;2;116;April;2025
357817;3578210;KENJERAN;6;90;3;35;April;2025
357829;3578211;BULAK;2;47;2;5;April;2025
357811;3578220;SIMOKERTO;3;37;2;18;April;2025
357816;3578230;SEMAMPIR;6;157;2;50;April;2025
357812;3578240;PABEAN CANTIAN;2;24;1;2;April;2025
357813;3578250;BUBUTAN;3;29;1;40;April;2025
357815;3578260;KREMBANGAN;7;63;2;64;April;2025
357828;3578270;ASEM ROWO;1;24;1;3;April;2025
357819;3578280;BENOWO;4;39;2;5;April;2025
357830;3578281;PAKAL;3;38;1;32;April;2025
357801;3578010;KARANG PILANG;2;42;1;1;Mei;2025
357823;3578020;JAMBANGAN;3;30;3;59;Mei;2025
357822;3578030;GAYUNGAN;6;87;1;5;Mei;2025
357802;3578040;WONOCOLO;6;110;2;61;Mei;2025
357824;3578050;TENGGILIS MEJOYO;5;20;2;51;Mei;2025
357825;3578060;GUNUNG ANYAR;2;29;1;2;Mei;2025
357803;3578070;RUNGKUT;7;71;3;51;Mei;2025
357809;3578080;SUKOLILO;5;145;4;68;Mei;2025
357826;3578090;MULYOREJO;2;27;1;33;Mei;2025
357808;3578100;GUBENG;5;123;1;6;Mei;2025
357804;3578110;WONOKROMO;4;32;3;56;Mei;2025
357821;3578120;DUKUH PAKIS;3;49;1;1;Mei;2025
357820;3578130;WIYUNG;5;77;1;3;Mei;2025
357818;3578140;LAKARSANTRI;4;26;2;48;Mei;2025
357831;3578141;SAMBIKEREP;4;63;2;93;Mei;2025
357814;3578150;TANDES;0;0;0;0;Mei;2025
357827;3578160;SUKOMANUNGGAL;5;36;3;13;Mei;2025
357806;3578170;SAWAHAN;7;148;1;58;Mei;2025
357805;3578180;TEGALSARI;7;97;1;4;Mei;2025
357807;3578190;GENTENG;3;40;4;96;Mei;2025
357810;3578200;TAMBAKSARI;9;141;2;115;Mei;2025
357817;3578210;KENJERAN;6;93;3;35;Mei;2025
357829;3578211;BULAK;2;47;2;5;Mei;2025
357811;3578220;SIMOKERTO;3;38;2;19;Mei;2025
357816;3578230;SEMAMPIR;6;161;2;50;Mei;2025
357812;3578240;PABEAN CANTIAN;2;24;1;5;Mei;2025
357813;3578250;BUBUTAN;3;30;1;40;Mei;2025
357815;3578260;KREMBANGAN;7;65;2;65;Mei;2025
357828;3578270;ASEM ROWO;1;24;1;3;Mei;2025
357819;3578280;BENOWO;4;39;2;5;Mei;2025
357830;3578281;PAKAL;3;38;1;32;Mei;2025
357801;3578010;KARANG PILANG;2;32;1;1;Juni;2025
357823;3578020;JAMBANGAN;3;23;3;40;Juni;2025
357822;3578030;GAYUNGAN;7;74;1;5;Juni;2025
357802;3578040;WONOCOLO;7;101;2;32;Juni;2025
357824;3578050;TENGGILIS MEJOYO;5;15;2;33;Juni;2025
357825;3578060;GUNUNG ANYAR;3;25;1;2;Juni;2025
357803;3578070;RUNGKUT;6;53;3;35;Juni;2025
357809;3578080;SUKOLILO;5;106;3;52;Juni;2025
357826;3578090;MULYOREJO;2;24;1;17;Juni;2025
357808;3578100;GUBENG;7;101;1;6;Juni;2025
357804;3578110;WONOKROMO;4;30;3;38;Juni;2025
357821;3578120;DUKUH PAKIS;2;33;1;3;Juni;2025
357820;3578130;WIYUNG;5;64;1;3;Juni;2025
357818;3578140;LAKARSANTRI;4;23;2;32;Juni;2025
357831;3578141;SAMBIKEREP;4;53;2;56;Juni;2025
357814;3578150;TANDES;4;49;1;4;Juni;2025
357827;3578160;SUKOMANUNGGAL;6;31;3;13;Juni;2025
357806;3578170;SAWAHAN;7;115;1;39;Juni;2025
357805;3578180;TEGALSARI;7;83;1;2;Juni;2025
357807;3578190;GENTENG;3;30;4;65;Juni;2025
357810;3578200;TAMBAKSARI;10;116;2;69;Juni;2025
357817;3578210;KENJERAN;6;77;4;38;Juni;2025
357829;3578211;BULAK;2;40;2;7;Juni;2025
357811;3578220;SIMOKERTO;3;26;2;19;Juni;2025
357816;3578230;SEMAMPIR;6;122;2;37;Juni;2025
357812;3578240;PABEAN CANTIAN;2;20;1;5;Juni;2025
357813;3578250;BUBUTAN;3;20;1;27;Juni;2025
357815;3578260;KREMBANGAN;7;48;2;43;Juni;2025
357828;3578270;ASEM ROWO;2;21;1;3;Juni;2025
357819;3578280;BENOWO;4;31;2;5;Juni;2025
357830;3578281;PAKAL;0;0;0;0;Juni;2025
357801;3578010;KARANG PILANG;2;33;2;6;Juli;2025
357823;3578020;JAMBANGAN;3;23;3;45;Juli;2025
357822;3578030;GAYUNGAN;6;76;1;5;Juli;2025
357802;3578040;WONOCOLO;7;105;2;36;Juli;2025
357824;3578050;TENGGILIS MEJOYO;5;16;2;37;Juli;2025
357825;3578060;GUNUNG ANYAR;3;23;1;4;Juli;2025
357803;3578070;RUNGKUT;7;59;3;37;Juli;2025
357809;3578080;SUKOLILO;6;117;3;62;Juli;2025
357826;3578090;MULYOREJO;2;27;1;17;Juli;2025
357808;3578100;GUBENG;7;108;1;6;Juli;2025
357804;3578110;WONOKROMO;4;30;3;47;Juli;2025
357821;3578120;DUKUH PAKIS;2;32;1;4;Juli;2025
357820;3578130;WIYUNG;6;73;2;4;Juli;2025
357818;3578140;LAKARSANTRI;5;25;2;31;Juli;2025
357831;3578141;SAMBIKEREP;4;53;2;57;Juli;2025
357814;3578150;TANDES;5;53;1;4;Juli;2025
357827;3578160;SUKOMANUNGGAL;7;37;3;14;Juli;2025
357806;3578170;SAWAHAN;9;124;1;53;Juli;2025
357805;3578180;TEGALSARI;7;89;1;12;Juli;2025
357807;3578190;GENTENG;3;30;4;74;Juli;2025
357810;3578200;TAMBAKSARI;12;131;2;81;Juli;2025
357817;3578210;KENJERAN;7;88;4;51;Juli;2025
357829;3578211;BULAK;2;40;2;9;Juli;2025
357811;3578220;SIMOKERTO;3;26;2;19;Juli;2025
357816;3578230;SEMAMPIR;7;131;2;50;Juli;2025
357812;3578240;PABEAN CANTIAN;2;20;1;9;Juli;2025
357813;3578250;BUBUTAN;3;22;1;27;Juli;2025
357815;3578260;KREMBANGAN;7;51;3;49;Juli;2025
357828;3578270;ASEM ROWO;2;24;1;5;Juli;2025
357819;3578280;BENOWO;5;34;2;13;Juli;2025
357830;3578281;PAKAL;0;0;0;0;Juli;2025
357801;3578010;KARANG PILANG;2;32;2;6;Agustus;2025
357823;3578020;JAMBANGAN;3;24;3;52;Agustus;2025
357822;3578030;GAYUNGAN;7;80;1;5;Agustus;2025
357802;3578040;WONOCOLO;8;111;2;38;Agustus;2025
357824;3578050;TENGGILIS MEJOYO;5;17;2;39;Agustus;2025
357825;3578060;GUNUNG ANYAR;3;25;1;4;Agustus;2025
357803;3578070;RUNGKUT;7;58;3;41;Agustus;2025
357809;3578080;SUKOLILO;6;123;3;63;Agustus;2025
357826;3578090;MULYOREJO;3;32;1;26;Agustus;2025
357808;3578100;GUBENG;7;108;1;6;Agustus;2025
357804;3578110;WONOKROMO;4;32;3;50;Agustus;2025
357821;3578120;DUKUH PAKIS;2;32;1;4;Agustus;2025
357820;3578130;WIYUNG;6;76;2;5;Agustus;2025
357818;3578140;LAKARSANTRI;5;34;2;33;Agustus;2025
357831;3578141;SAMBIKEREP;4;55;2;66;Agustus;2025
357814;3578150;TANDES;5;53;1;3;Agustus;2025
357827;3578160;SUKOMANUNGGAL;7;42;3;14;Agustus;2025
357806;3578170;SAWAHAN;9;126;1;53;Agustus;2025
357805;3578180;TEGALSARI;7;92;1;11;Agustus;2025
357807;3578190;GENTENG;3;30;4;74;Agustus;2025
357810;3578200;TAMBAKSARI;12;134;2;81;Agustus;2025
357817;3578210;KENJERAN;7;88;4;51;Agustus;2025
357829;3578211;BULAK;2;41;2;11;Agustus;2025
357811;3578220;SIMOKERTO;3;27;2;22;Agustus;2025
357816;3578230;SEMAMPIR;8;129;2;50;Agustus;2025
357812;3578240;PABEAN CANTIAN;2;21;1;9;Agustus;2025
357813;3578250;BUBUTAN;3;22;1;27;Agustus;2025
357815;3578260;KREMBANGAN;7;52;3;66;Agustus;2025
357828;3578270;ASEM ROWO;2;25;1;5;Agustus;2025
357819;3578280;BENOWO;5;34;2;13;Agustus;2025
357830;3578281;PAKAL;0;0;0;0;Agustus;2025
357801;3578010;KARANG PILANG;3;38;2;6;September;2025
357823;3578020;JAMBANGAN;4;25;3;52;September;2025
357822;3578030;GAYUNGAN;7;80;1;5;September;2025
357802;3578040;WONOCOLO;8;112;2;38;September;2025
357824;3578050;TENGGILIS MEJOYO;5;17;2;53;September;2025
357825;3578060;GUNUNG ANYAR;3;26;1;4;September;2025
357803;3578070;RUNGKUT;7;59;3;45;September;2025
357809;3578080;SUKOLILO;6;124;3;74;September;2025
357826;3578090;MULYOREJO;3;33;1;26;September;2025
357808;3578100;GUBENG;7;108;1;6;September;2025
357804;3578110;WONOKROMO;4;32;3;51;September;2025
357821;3578120;DUKUH PAKIS;2;32;1;4;September;2025
357820;3578130;WIYUNG;6;77;2;5;September;2025
357818;3578140;LAKARSANTRI;6;36;2;33;September;2025
357831;3578141;SAMBIKEREP;4;46;2;74;September;2025
357814;3578150;TANDES;5;54;1;3;September;2025
357827;3578160;SUKOMANUNGGAL;7;43;3;14;September;2025
357806;3578170;SAWAHAN;9;126;1;53;September;2025
357805;3578180;TEGALSARI;8;97;1;13;September;2025
357807;3578190;GENTENG;3;32;4;81;September;2025
357810;3578200;TAMBAKSARI;12;131;2;81;September;2025
357817;3578210;KENJERAN;7;89;4;51;September;2025
357829;3578211;BULAK;2;41;2;11;September;2025
357811;3578220;SIMOKERTO;3;31;2;25;September;2025
357816;3578230;SEMAMPIR;8;131;2;61;September;2025
357812;3578240;PABEAN CANTIAN;3;23;1;9;September;2025
357813;3578250;BUBUTAN;3;22;1;35;September;2025
357815;3578260;KREMBANGAN;7;53;3;66;September;2025
357828;3578270;ASEM ROWO;2;25;1;5;September;2025
357819;3578280;BENOWO;5;34;2;13;September;2025
357830;3578281;PAKAL;0;0;0;0;September;2025
357801;3578010;KARANG PILANG;3;38;2;6;Oktober;2025
357823;3578020;JAMBANGAN;4;26;3;50;Oktober;2025
357822;3578030;GAYUNGAN;7;80;1;5;Oktober;2025
357802;3578040;WONOCOLO;8;116;2;39;Oktober;2025
357824;3578050;TENGGILIS MEJOYO;5;17;2;53;Oktober;2025
357825;3578060;GUNUNG ANYAR;3;26;1;4;Oktober;2025
357803;3578070;RUNGKUT;7;59;3;45;Oktober;2025
357809;3578080;SUKOLILO;6;126;3;74;Oktober;2025
357826;3578090;MULYOREJO;3;33;1;26;Oktober;2025
357808;3578100;GUBENG;7;119;1;8;Oktober;2025
357804;3578110;WONOKROMO;5;34;3;50;Oktober;2025
357821;3578120;DUKUH PAKIS;2;32;1;4;Oktober;2025
357820;3578130;WIYUNG;6;80;2;5;Oktober;2025
357818;3578140;LAKARSANTRI;6;36;2;38;Oktober;2025
357831;3578141;SAMBIKEREP;4;46;2;74;Oktober;2025
357814;3578150;TANDES;5;54;1;3;Oktober;2025
357827;3578160;SUKOMANUNGGAL;7;44;3;29;Oktober;2025
357806;3578170;SAWAHAN;9;126;1;53;Oktober;2025
357805;3578180;TEGALSARI;8;98;1;13;Oktober;2025
357807;3578190;GENTENG;3;33;4;81;Oktober;2025
357810;3578200;TAMBAKSARI;13;131;2;93;Oktober;2025
357817;3578210;KENJERAN;7;87;4;51;Oktober;2025
357829;3578211;BULAK;2;41;2;11;Oktober;2025
357811;3578220;SIMOKERTO;3;31;2;25;Oktober;2025
357816;3578230;SEMAMPIR;8;131;2;61;Oktober;2025
357812;3578240;PABEAN CANTIAN;3;23;1;9;Oktober;2025
357813;3578250;BUBUTAN;3;23;1;36;Oktober;2025
357815;3578260;KREMBANGAN;7;51;3;66;Oktober;2025
357828;3578270;ASEM ROWO;2;25;1;5;Oktober;2025
357819;3578280;BENOWO;5;39;2;13;Oktober;2025
357830;3578281;PAKAL;0;0;0;0;Oktober;2025
357801;3578010;KARANG PILANG;3;38;2;6;November;2025
357823;3578020;JAMBANGAN;4;26;3;56;November;2025
357822;3578030;GAYUNGAN;7;83;1;5;November;2025
357802;3578040;WONOCOLO;9;129;2;40;November;2025
357824;3578050;TENGGILIS MEJOYO;5;17;2;53;November;2025
357825;3578060;GUNUNG ANYAR;3;26;1;4;November;2025
357803;3578070;RUNGKUT;7;62;3;45;November;2025
357809;3578080;SUKOLILO;7;145;3;80;November;2025
357826;3578090;MULYOREJO;3;33;1;26;November;2025
357808;3578100;GUBENG;7;120;1;8;November;2025
357804;3578110;WONOKROMO;7;42;3;51;November;2025
357821;3578120;DUKUH PAKIS;2;34;1;4;November;2025
357820;3578130;WIYUNG;6;84;2;5;November;2025
357818;3578140;LAKARSANTRI;6;37;2;38;November;2025
357831;3578141;SAMBIKEREP;4;46;2;74;November;2025
357814;3578150;TANDES;5;56;1;3;November;2025
357827;3578160;SUKOMANUNGGAL;7;46;3;29;November;2025
357806;3578170;SAWAHAN;9;129;1;53;November;2025
357805;3578180;TEGALSARI;9;100;1;13;November;2025
357807;3578190;GENTENG;4;36;4;82;November;2025
357810;3578200;TAMBAKSARI;13;131;2;93;November;2025
357817;3578210;KENJERAN;7;89;4;51;November;2025
357829;3578211;BULAK;2;46;2;12;November;2025
357811;3578220;SIMOKERTO;3;32;2;25;November;2025
357816;3578230;SEMAMPIR;8;134;2;61;November;2025
357812;3578240;PABEAN CANTIAN;3;23;1;11;November;2025
357813;3578250;BUBUTAN;3;23;1;36;November;2025
357815;3578260;KREMBANGAN;7;51;3;66;November;2025
357828;3578270;ASEM ROWO;2;25;1;5;November;2025
357819;3578280;BENOWO;5;39;2;13;November;2025
357830;3578281;PAKAL;3;37;1;3;November;2025
357801;3578010;KARANG PILANG;5;51;2;6;Desember;2025
357823;3578020;JAMBANGAN;5;44;3;56;Desember;2025
357822;3578030;GAYUNGAN;7;84;1;9;Desember;2025
357802;3578040;WONOCOLO;9;146;2;41;Desember;2025
357824;3578050;TENGGILIS MEJOYO;6;33;2;53;Desember;2025
357825;3578060;GUNUNG ANYAR;4;25;1;6;Desember;2025
357803;3578070;RUNGKUT;8;82;3;45;Desember;2025
357809;3578080;SUKOLILO;8;158;3;81;Desember;2025
357826;3578090;MULYOREJO;4;35;1;26;Desember;2025
357808;3578100;GUBENG;11;141;1;19;Desember;2025
357804;3578110;WONOKROMO;9;57;3;51;Desember;2025
357821;3578120;DUKUH PAKIS;3;37;1;8;Desember;2025
357820;3578130;WIYUNG;6;87;2;5;Desember;2025
357818;3578140;LAKARSANTRI;9;43;2;38;Desember;2025
357831;3578141;SAMBIKEREP;4;48;2;75;Desember;2025
357814;3578150;TANDES;7;64;1;3;Desember;2025
357827;3578160;SUKOMANUNGGAL;7;51;3;33;Desember;2025
357806;3578170;SAWAHAN;12;161;1;55;Desember;2025
357805;3578180;TEGALSARI;11;110;1;13;Desember;2025
357807;3578190;GENTENG;4;40;4;87;Desember;2025
357810;3578200;TAMBAKSARI;13;140;2;93;Desember;2025
357817;3578210;KENJERAN;7;95;4;55;Desember;2025
357829;3578211;BULAK;2;57;2;13;Desember;2025
357811;3578220;SIMOKERTO;3;33;2;25;Desember;2025
357816;3578230;SEMAMPIR;9;145;2;61;Desember;2025
357812;3578240;PABEAN CANTIAN;3;24;1;11;Desember;2025
357813;3578250;BUBUTAN;5;33;1;36;Desember;2025
357815;3578260;KREMBANGAN;9;63;3;66;Desember;2025
357828;3578270;ASEM ROWO;2;28;1;5;Desember;2025
357819;3578280;BENOWO;7;45;2;14;Desember;2025
357830;3578281;PAKAL;4;39;1;3;Desember;2025
357801;3578010;KARANG PILANG;5;62;2;6;Januari;2026
357823;3578020;JAMBANGAN;5;44;3;56;Januari;2026
357822;3578030;GAYUNGAN;7;85;1;9;Januari;2026
357802;3578040;WONOCOLO;9;146;2;41;Januari;2026
357824;3578050;TENGGILIS MEJOYO;6;37;2;53;Januari;2026
357825;3578060;GUNUNG ANYAR;4;25;1;6;Januari;2026
357803;3578070;RUNGKUT;8;94;3;51;Januari;2026
357809;3578080;SUKOLILO;8;160;3;80;Januari;2026
357826;3578090;MULYOREJO;4;42;1;26;Januari;2026
357808;3578100;GUBENG;11;146;1;20;Januari;2026
357804;3578110;WONOKROMO;9;62;3;53;Januari;2026
357821;3578120;DUKUH PAKIS;3;37;1;8;Januari;2026
357820;3578130;WIYUNG;6;89;2;5;Januari;2026
357818;3578140;LAKARSANTRI;9;44;2;38;Januari;2026
357831;3578141;SAMBIKEREP;4;49;2;75;Januari;2026
357814;3578150;TANDES;8;69;1;3;Januari;2026
357827;3578160;SUKOMANUNGGAL;7;53;3;35;Januari;2026
357806;3578170;SAWAHAN;14;173;1;57;Januari;2026
357805;3578180;TEGALSARI;11;109;1;12;Januari;2026
357807;3578190;GENTENG;6;52;4;87;Januari;2026
357810;3578200;TAMBAKSARI;15;158;2;94;Januari;2026
357817;3578210;KENJERAN;8;103;4;56;Januari;2026
357829;3578211;BULAK;2;56;2;13;Januari;2026
357811;3578220;SIMOKERTO;3;34;2;28;Januari;2026
357816;3578230;SEMAMPIR;9;149;2;61;Januari;2026
357812;3578240;PABEAN CANTIAN;3;25;1;11;Januari;2026
357813;3578250;BUBUTAN;5;36;1;36;Januari;2026
357815;3578260;KREMBANGAN;9;74;3;68;Januari;2026
357828;3578270;ASEM ROWO;2;28;1;5;Januari;2026
357819;3578280;BENOWO;7;47;3;16;Januari;2026
357830;3578281;PAKAL;4;38;1;3;Januari;2026
357801;3578010;KARANG PILANG;6;64;2;6;Februari;2026
357823;3578020;JAMBANGAN;5;44;3;56;Februari;2026
357822;3578030;GAYUNGAN;7;84;1;9;Februari;2026
357802;3578040;WONOCOLO;9;148;2;41;Februari;2026
357824;3578050;TENGGILIS MEJOYO;6;35;2;53;Februari;2026
357825;3578060;GUNUNG ANYAR;4;25;1;6;Februari;2026
357803;3578070;RUNGKUT;8;94;3;51;Februari;2026
357809;3578080;SUKOLILO;8;159;3;80;Februari;2026
357826;3578090;MULYOREJO;4;42;1;26;Februari;2026
357808;3578100;GUBENG;10;145;1;20;Februari;2026
357804;3578110;WONOKROMO;9;60;3;54;Februari;2026
357821;3578120;DUKUH PAKIS;3;37;1;8;Februari;2026
357820;3578130;WIYUNG;6;89;2;5;Februari;2026
357818;3578140;LAKARSANTRI;9;44;2;38;Februari;2026
357831;3578141;SAMBIKEREP;4;49;2;75;Februari;2026
357814;3578150;TANDES;8;69;1;3;Februari;2026
357827;3578160;SUKOMANUNGGAL;7;53;3;35;Februari;2026
357806;3578170;SAWAHAN;14;175;1;57;Februari;2026
357805;3578180;TEGALSARI;11;109;1;12;Februari;2026
357807;3578190;GENTENG;6;52;4;87;Februari;2026
357810;3578200;TAMBAKSARI;15;159;2;94;Februari;2026
357817;3578210;KENJERAN;8;104;4;56;Februari;2026
357829;3578211;BULAK;2;55;2;13;Februari;2026
357811;3578220;SIMOKERTO;3;34;2;28;Februari;2026
357816;3578230;SEMAMPIR;9;149;2;61;Februari;2026
357812;3578240;PABEAN CANTIAN;3;25;1;11;Februari;2026
357813;3578250;BUBUTAN;5;36;1;36;Februari;2026
357815;3578260;KREMBANGAN;9;75;3;68;Februari;2026
357828;3578270;ASEMROWO;2;28;1;5;Februari;2026
357819;3578280;BENOWO;8;48;3;16;Februari;2026
357830;3578281;PAKAL;4;38;1;3;Februari;2026
