Kode Kecamatan Kemendagri,Kode Kecamatan BPS,Kecamatan,SD/MI NEGERI_A,SD/MI NEGERI_B,SD/MI NEGERI_C,SD/MI NEGERI_NonAkred,SD/MI SWASTA_A,SD/MI SWASTA_B,SD/MI SWASTA_C,SD/MI SWASTA_NonAkred,SMP/MTS NEGERI_A,SMP/MTS NEGERI_B,SMP/MTS NEGERI_C,SMP/MTS NEGERI_NonAkred,SMP/MTS SWASTA_A,SMP/MTS SWASTA_B,SMP/MTS SWASTA_C,SMP/MTS SWASTA_NonAkred,SD Inklusi,Siswa Inklusi SD,SMP Inklusi,Siswa Inklusi SMP,7 L,7 P,8 L,8 P,9 L,9 P,10 L,10 P,11 L,11 P,12 L,12 P,13 L,13 P,14 L,14 P,15 L,15 P,16 L,16 P,Jumlah_Faskes,Latitude,Longitude,Periode,Tahun,Total SD A,Total SD B,Total SD C,Total SD Non Akred,Total SD/MI,Total SMP A,Total SMP B,Total SMP C,Total SMP Non Akred,Total SMP/MTS,Total Siswa Inklusi,Total Sekolah Inklusi,Umur SD,Umur SMP,Rasio_Faskes_per_1000_Anak
357816,3578230,SEMAMPIR,9,2,0,0,10,34,7,0,2.0,0.0,0.0,1.0,4.0,14.0,2.0,3.0,6.0,157.0,2.0,50.0,1584,1597,1596,1476,1636,1511,1597,1492,1698,1567,1660,1546,1663,1611,1704,1522,1619,1532,1603,1564,27,-7.2145096,112.7312914,Januari,2025,19,36,7,0,62,6.0,14.0,2.0,4.0,26.0,207.0,8.0,22234,12818,0.7702841492639507
357812,3578240,PABEAN CANTIAN,4,0,0,0,6,8,0,0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,24.0,1.0,1.0,589,581,577,535,558,546,601,547,567,531,594,516,602,587,574,581,588,596,591,561,32,-7.2222887,112.7150563,Januari,2025,10,8,0,0,18,4.0,2.0,0.0,0.0,6.0,25.0,3.0,7931,4680,2.5374672904607087
357813,3578250,BUBUTAN,10,0,0,0,5,13,2,0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,3.0,28.0,1.0,38.0,722,704,755,668,695,671,751,669,735,771,792,727,817,741,821,751,819,693,749,748,18,-7.2466266,112.711117,Januari,2025,15,13,2,0,30,5.0,3.0,0.0,0.0,8.0,66.0,4.0,10218,6139,1.1004462921073548
357815,3578260,KREMBANGAN,9,2,0,0,13,11,3,0,4.0,0.0,0.0,0.0,11.0,3.0,0.0,1.0,6.0,62.0,2.0,63.0,955,821,862,798,914,851,957,900,942,903,913,888,953,902,988,931,943,913,950,901,22,-7.2271598,112.7069053,Januari,2025,22,13,3,0,38,15.0,3.0,0.0,1.0,19.0,125.0,8.0,12559,7481,1.0978043912175648
357828,3578270,ASEM ROWO,3,0,0,0,1,9,1,2,1.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,24.0,1.0,3.0,437,420,424,413,443,398,421,427,446,416,436,378,408,435,434,389,446,371,411,384,3,-7.2388207,112.6714753,Januari,2025,4,9,1,2,16,3.0,0.0,1.0,2.0,6.0,27.0,2.0,5902,3278,0.32679738562091504
357819,3578280,BENOWO,8,0,0,0,5,4,0,2,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,38.0,1.0,1.0,609,588,583,568,610,564,645,591,677,615,619,589,683,632,686,644,627,642,682,610,17,-7.2285631,112.6115998,Januari,2025,13,4,0,2,19,5.0,1.0,0.0,0.0,6.0,39.0,4.0,8573,5206,1.2337615211553814
357830,3578281,PAKAL,6,0,0,0,6,8,0,1,2.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,3.0,38.0,1.0,32.0,544,469,557,481,484,546,547,481,512,526,557,527,569,526,541,525,556,508,545,508,9,-7.2318257,112.5794528,Januari,2025,12,8,0,1,21,8.0,3.0,0.0,0.0,11.0,70.0,4.0,7326,4278,0.7755946225439503
357801,3578010,KARANG PILANG,6,1,0,0,7,1,0,0,2.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,2.0,42.0,1.0,1.0,560,551,547,521,593,500,573,567,617,619,568,551,606,569,618,581,592,525,640,538,17,-7.3320941,112.6502361,Februari,2025,13,2,0,0,15,6.0,2.0,0.0,1.0,9.0,43.0,3.0,7942,4669,1.3480294980572516
357823,3578020,JAMBANGAN,6,0,0,0,5,1,0,0,4.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,3.0,26.0,2.0,56.0,391,401,454,389,417,382,461,406,472,439,458,427,472,434,517,460,443,416,448,423,16,-7.3239747,112.6980679,Februari,2025,11,1,0,0,12,7.0,2.0,0.0,1.0,10.0,82.0,5.0,6003,3613,1.663893510815308
357822,3578030,GAYUNGAN,8,0,0,0,4,3,0,0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,6.0,88.0,1.0,5.0,353,286,320,311,331,296,356,302,355,333,379,327,358,377,329,348,331,346,355,320,29,-7.3280627,112.7092178,Februari,2025,12,3,0,0,15,5.0,1.0,0.0,0.0,6.0,93.0,7.0,4684,2764,3.8936627282491942
